Index,Quantity,Part Description,Link,Cost

1,1,"PCB and 3D print + shipping",https://jlcpcb.com,28.92 USD
2,1,"Screws",https://www.amazon.in/gp/product/B0C394FK9B/ref=ewc_pr_img_1?smid=A31OPLJ1CRU4J5&th=1, 3.87 USD
3,1,"M3X6 mm Brass Heat",https://www.amazon.in/gp/product/B0BB86CQSJ/ref=ewc_pr_img_2?smid=A2JDRZEGU1IDE2&psc=1,0.79 USD
4,2,"Keycaps SET",https://www.amazon.in/gp/product/B0F13YK4D6/ref=ewc_pr_img_3?smid=AH0KEO6T9U8SH&psc=1,4.6X2 = 9.2 USD
5,1,"Mechanical Keyboard Switches", https://www.amazon.in/gp/product/B0G39H2G4H/ref=ewc_pr_img_4?smid=ANH0PBBCLPM1Q&psc=1, 5.37 USD
6,1,"Rotary Encoder ",https://www.amazon.in/gp/product/B0888RWNM1/ref=ewc_pr_img_5?smid=A34QREQHZ8C5B0&psc=1, 1.84 USD
7,1,"Lcd Display Module With Iic I2C Serial Interface Board Module",https://www.amazon.in/gp/product/B08THCDP8L/ref=ewc_pr_img_6?smid=AJ6SIZC8YQDZX&psc=1,3.87 USD
8,1,"Raspberry Pi Pico ",https://www.amazon.in/gp/product/B08WPNM7JB/ref=ewc_pr_img_7?smid=AJ6SIZC8YQDZX&psc=1,7.51 USD

